dimension,level,reference_level,mean_prediction,mean_difference_from_reference
feedback,0,0,0.5134012869099347,0.0
feedback,1,0,0.5189404095826431,0.005539122672708323
ambiguity,0,0,0.5100262278645458,0.0
ambiguity,1,0,0.5526860520835396,0.042659824218993836
lottery_shape,undefined,undefined,0.5103012900884748,0.0
lottery_shape,symmetric,undefined,0.5255351949884534,0.015233904899978553
lottery_shape,right_skewed,undefined,0.5276921916943647,0.01739090160588982
lottery_shape,left_skewed,undefined,0.5255381703512774,0.01523688026280256
correlation,negative,negative,0.5180606138509101,0.0
correlation,zero,negative,0.518168218071674,0.00010760422076402725
correlation,positive,negative,0.5179106303520302,-0.00014998349887973013
