row_index,problem,feedback,ambiguity,participant_count_n,ev_a,ev_b_oracle,ev_difference_b_minus_a_oracle,ev_benchmark_favors,observed_brate,ml_predicted_brate,absolute_error,human_aggregate_favors,deviation_type,highly_divided,ml_successfully_predicts_deviation,ml_fails_to_predict_deviation,ha,pha,la,hb,phb,lb,lottery_shape_b,correlation,gamble_a,gamble_b
8,8,False,False,15,27.0,32.5,5.5,B,0.4533333333333333,0.37441196814711325,0.07892136518622006,A,none,True,False,False,27,1.0,27,89,0.5,-24,0,0,p=1→27; p=0→27,p=0.5→-24; p=0.5→89
9,8,True,False,16,27.0,32.5,5.5,B,0.6125,0.4444704175047255,0.16802958249527455,B,none,False,False,False,27,1.0,27,89,0.5,-24,0,0,p=1→27; p=0→27,p=0.5→-24; p=0.5→89
14,12,True,True,17,-3.0,-2.1100000000000003,0.8899999999999997,B,0.6352941176470589,0.7175691252786898,0.08227500763163087,B,none,False,False,False,-3,1.0,-3,-2,0.99,-13,2,0,p=1→-3; p=0→-3,p=0.01→-13; p=0.495→-8; p=0.2475→-6; p=0.12375→-2; p=0.061875→6; p=0.0309375→22; p=0.0154687→54; p=0.0154688→118
39,33,True,False,15,1.0,4.799999999999999,3.799999999999999,B,0.4933333333333334,0.4502392192084343,0.04309411412489911,A,none,True,False,False,1,1.0,1,72,0.2,-12,0,0,p=1→1; p=0→1,p=0.8→-12; p=0.2→72
48,39,True,False,18,-1.0,0.6000000000000005,1.6000000000000005,B,0.5444444444444445,0.6017534372786626,0.05730899283421809,B,none,True,False,False,-1,1.0,-1,23,0.2,-5,0,0,p=1→-1; p=0→-1,p=0.8→-5; p=0.2→23
56,46,True,False,15,-5.08,-5.75,-0.6699999999999999,A,0.8,0.6977133459996098,0.10228665400039028,B,none,False,False,False,-5,0.99,-13,7,0.75,-44,1,-1,p=0.99→-5; p=0.01→-13,p=0.25→-44; p=0.09375→5.5; p=0.28125→6.5; p=0.28125→7.5; p=0.09375→8.5
62,50,False,False,16,17.78,23.5,5.719999999999999,B,0.4625,0.3735376986146585,0.0889623013853415,A,none,True,False,False,18,0.99,-4,94,0.5,-47,0,0,p=0.99→18; p=0.01→-4,p=0.5→-47; p=0.5→94
91,73,True,True,18,5.01,17.2,12.19,B,0.6333333333333333,0.5869160583447478,0.0464172749885855,B,none,False,False,False,6,0.01,5,86,0.2,0,0,0,p=0.01→6; p=0.99→5,p=0.8→0; p=0.2→86
92,74,True,True,16,-3.2,-6.199999999999999,-2.999999999999999,A,0.45,0.5574130948378133,0.1074130948378133,A,none,True,False,False,31,0.05,-5,97,0.2,-32,0,0,p=0.05→31; p=0.95→-5,p=0.8→-32; p=0.2→97
101,81,True,False,17,6.0,12.5,6.5,B,0.6,0.619138025975881,0.01913802597588099,B,none,False,False,False,6,1.0,6,22,0.75,-16,0,0,p=1→6; p=0→6,p=0.25→-16; p=0.75→22
107,87,True,False,16,-2.0,5.2,7.2,B,0.7875,0.8441235206784198,0.0566235206784198,B,none,False,False,False,-2,1.0,-2,7,0.4,4,3,0,p=1→-2; p=0→-2,p=0.6→4; p=0.2→12; p=0.1→10; p=0.05→6; p=0.025→-2; p=0.0125→-18; p=0.0125→-50
137,112,True,True,16,5.000000000000002,18.91,13.909999999999998,B,0.925,0.7830851712620408,0.14191482873795924,B,none,False,False,False,18,0.8,-47,19,0.99,10,1,0,p=0.8→18; p=0.2→-47,p=0.01→10; p=0.0309375→16.5; p=0.154688→17.5; p=0.309375→18.5; p=0.309375→19.5; p=0.154688→20.5; p=0.0309375→21.5
138,113,False,True,16,25.199999999999996,15.999999999999998,-9.199999999999998,A,0.425,0.27316741370788883,0.15183258629211116,A,none,False,False,False,48,0.6,-9,42,0.6,-23,0,0,p=0.6→48; p=0.4→-9,p=0.4→-23; p=0.6→42
139,113,True,True,17,25.199999999999996,15.999999999999998,-9.199999999999998,A,0.15294117647058825,0.247520686077508,0.09457950960691974,A,none,False,False,False,48,0.6,-9,42,0.6,-23,0,0,p=0.6→48; p=0.4→-9,p=0.4→-23; p=0.6→42
144,116,False,False,33,6.0,2.75,-3.25,A,0.5333333333333332,0.45266402847128545,0.08066930486204776,B,none,True,False,False,6,1.0,6,77,0.01,2,1,0,p=1→6; p=0→6,p=0.99→2; p=0.005→76.5; p=0.005→77.5
145,116,True,False,16,6.0,2.75,-3.25,A,0.3375,0.45160508461440335,0.11410508461440333,A,none,False,False,False,6,1.0,6,77,0.01,2,1,0,p=1→6; p=0→6,p=0.99→2; p=0.005→76.5; p=0.005→77.5
147,118,True,False,17,-3.0,1.3,4.3,B,0.9882352941176472,0.9237284621627774,0.06450683195486984,B,none,False,False,False,-3,1.0,-3,31,0.01,1,0,0,p=1→-3; p=0→-3,p=0.99→1; p=0.01→31
158,125,True,False,19,29.0,36.75,7.75,B,0.8526315789473684,0.854751145195914,0.00211956624854559,B,none,False,False,False,29,1.0,29,111,0.01,36,2,0,p=1→29; p=0→29,p=0.99→36; p=0.005→110; p=0.005→112
161,127,True,False,18,1.0,-2.8,-3.8,A,0.25555555555555554,0.2745845325792297,0.019028977023674176,A,none,False,False,False,29,0.2,-6,-2,0.8,-6,1,1,p=0.2→29; p=0.8→-6,p=0.2→-6; p=0.4→-2.5; p=0.4→-1.5
162,128,False,False,16,8.2,9.25,1.0500000000000007,B,0.575,0.5156724079589972,0.0593275920410028,B,none,False,False,False,21,0.6,-11,20,0.75,-23,3,0,p=0.6→21; p=0.4→-11,p=0.25→-23; p=0.375→23; p=0.1875→21; p=0.09375→17; p=0.09375→9
163,128,True,False,15,8.2,9.25,1.0500000000000007,B,0.7733333333333334,0.5355311357714083,0.2378021975619251,B,none,False,False,False,21,0.6,-11,20,0.75,-23,3,0,p=0.6→21; p=0.4→-11,p=0.25→-23; p=0.375→23; p=0.1875→21; p=0.09375→17; p=0.09375→9
178,140,False,False,16,27.0,30.5,3.5,B,0.4125,0.49417867874334404,0.08167867874334406,A,none,False,False,False,27,1.0,27,70,0.5,-9,3,0,p=1→27; p=0→27,p=0.5→-9; p=0.25→72; p=0.125→70; p=0.125→66
179,140,True,False,16,27.0,30.5,3.5,B,0.4875,0.5278455863699584,0.040345586369958386,A,none,True,False,False,27,1.0,27,70,0.5,-9,3,0,p=1→27; p=0→27,p=0.5→-9; p=0.25→72; p=0.125→70; p=0.125→66
181,142,True,False,17,26.0,26.0,0.0,tie,0.4,0.52717958147243,0.12717958147243003,A,none,False,False,False,44,0.4,14,26,1.0,26,0,0,p=0.4→44; p=0.6→14,p=1→26
192,151,False,False,16,18.0,23.6,5.600000000000001,B,0.2250000000000001,0.39346033148035536,0.16846033148035527,A,strong_ev_b_humans_favor_a,False,False,True,31,0.5,5,65,0.4,-4,0,0,p=0.5→31; p=0.5→5,p=0.6→-4; p=0.4→65
194,153,True,False,16,25.0,34.8,9.799999999999997,B,0.7125,0.809910877972634,0.09741087797263392,B,none,False,False,False,25,1.0,25,38,0.8,22,1,0,p=1→25; p=0→25,p=0.2→22; p=0.025→35.5; p=0.125→36.5; p=0.25→37.5; p=0.25→38.5; p=0.125→39.5; p=0.025→40.5
197,156,False,False,16,-3.3999999999999995,-3.8000000000000003,-0.4000000000000008,A,0.8124999999999999,0.5845638224188255,0.22793617758117435,B,none,False,False,False,-1,0.9,-25,1,0.4,-7,0,0,p=0.9→-1; p=0.1→-25,p=0.6→-7; p=0.4→1
198,157,False,False,16,23.0,24.5,1.5,B,0.275,0.33862726599808446,0.06362726599808444,A,none,False,False,False,23,1.0,23,89,0.5,-40,0,0,p=1→23; p=0→23,p=0.5→-40; p=0.5→89
210,168,True,False,17,-1.8,-2.0,-0.19999999999999996,A,0.5411764705882353,0.48373212098112994,0.057444349607105316,B,none,True,False,False,-1,0.2,-2,-2,1.0,-2,1,0,p=0.2→-1; p=0.8→-2,p=0.0078125→-5.5; p=0.0546875→-4.5; p=0.164062→-3.5; p=0.273438→-2.5; p=0.273438→-1.5; p=0.164062→-0.5; p=0.0546875→0.5; p=0.0078125→1.5
248,200,True,True,16,-3.0,-6.999999999999999,-3.999999999999999,A,0.2125,0.14626812923335178,0.06623187076664822,A,none,False,False,False,-3,1.0,-3,-7,0.05,-7,1,0,p=1→-3; p=0→-3,p=0.95→-7; p=0.000390625→-10.5; p=0.00273438→-9.5; p=0.00820313→-8.5; p=0.0136719→-7.5; p=0.0136719→-6.5; p=0.00820313→-5.5; p=0.00273438→-4.5; p=0.000390625→-3.5
250,202,False,True,17,13.75,6.75,-7.0,A,0.8235294117647057,0.6079503248244872,0.21557908694021855,B,strong_ev_a_humans_favor_b,False,False,True,66,0.05,11,97,0.05,2,1,1,p=0.05→66; p=0.95→11,p=0.95→2; p=0.000390625→93.5; p=0.00273438→94.5; p=0.00820313→95.5; p=0.0136719→96.5; p=0.0136719→97.5; p=0.00820313→98.5; p=0.00273438→99.5; p=0.000390625→100.5
