example_category,example_rank,row_index,problem,feedback,ambiguity,participant_count_n,ev_a,ev_b_oracle,ev_difference_b_minus_a_oracle,ev_benchmark_favors,observed_brate,ml_predicted_brate,absolute_error,human_aggregate_favors,deviation_type,highly_divided,ml_successfully_predicts_deviation,ml_fails_to_predict_deviation,ha,pha,la,hb,phb,lb,lottery_shape_b,correlation,gamble_a,gamble_b
strong_ev_a_humans_favor_b,1,12550,10989,True,False,16,-4.9,-18.0,-13.1,A,0.725,0.4916539672758219,0.2333460327241781,B,strong_ev_a_humans_favor_b,False,False,True,-4,0.95,-22,18,0.2,-27,1,-1,p=0.95→-4; p=0.05→-22,p=0.8→-27; p=0.00625→15.5; p=0.03125→16.5; p=0.0625→17.5; p=0.0625→18.5; p=0.03125→19.5; p=0.00625→20.5
strong_ev_a_humans_favor_b,2,14095,12534,True,True,16,-4.2,-16.58,-12.379999999999999,A,0.6875000000000001,0.6309853311670779,0.05651466883292222,B,strong_ev_a_humans_favor_b,False,True,False,-1,0.2,-5,25,0.01,-17,1,0,p=0.2→-1; p=0.8→-5,p=0.99→-17; p=0.0003125→22.5; p=0.0015625→23.5; p=0.003125→24.5; p=0.003125→25.5; p=0.0015625→26.5; p=0.0003125→27.5
strong_ev_a_humans_favor_b,3,8032,6526,True,True,20,27.2,15.0,-12.2,A,0.6,0.5136842705960597,0.08631572940394028,B,strong_ev_a_humans_favor_b,False,False,False,86,0.4,-12,15,0.8,15,1,0,p=0.4→86; p=0.6→-12,p=0.2→15; p=0.025→12.5; p=0.125→13.5; p=0.25→14.5; p=0.25→15.5; p=0.125→16.5; p=0.025→17.5
strong_ev_a_humans_favor_b,4,10030,8469,True,True,17,6.1000000000000005,-5.8999999999999995,-12.0,A,0.6470588235294119,0.3311227399181349,0.315936083611277,B,strong_ev_a_humans_favor_b,False,False,True,79,0.1,-2,22,0.1,-9,2,1,p=0.1→79; p=0.9→-2,p=0.9→-9; p=0.05→20; p=0.025→22; p=0.025→26
strong_ev_a_humans_favor_b,5,12044,10483,True,True,16,10.0,-1.6999999999999993,-11.7,A,0.7999999999999999,0.45347480627363523,0.3465251937263647,B,strong_ev_a_humans_favor_b,False,False,True,46,0.5,-26,46,0.1,-7,3,0,p=0.5→46; p=0.5→-26,p=0.9→-7; p=0.05→47; p=0.05→45
strong_ev_b_humans_favor_a,1,8793,7232,True,False,15,30.0,43.6,13.600000000000001,B,0.3733333333333333,0.406560064821613,0.033226731488279704,A,strong_ev_b_humans_favor_a,False,True,False,57,0.1,27,62,0.8,-30,0,0,p=0.1→57; p=0.9→27,p=0.2→-30; p=0.8→62
strong_ev_b_humans_favor_a,2,760,614,True,False,15,6.2499999999999964,18.25,12.000000000000004,B,0.36000000000000004,0.4895110854365285,0.12951108543652845,A,strong_ev_b_humans_favor_a,False,False,False,9,0.95,-46,94,0.25,-7,0,0,p=0.95→9; p=0.05→-46,p=0.75→-7; p=0.25→94
strong_ev_b_humans_favor_a,3,4911,4000,False,True,19,23.8,35.8,11.999999999999996,B,0.3578947368421053,0.4871555296094831,0.12926079276737779,A,strong_ev_b_humans_favor_a,False,False,False,27,0.6,19,73,0.6,-20,1,0,p=0.6→27; p=0.4→19,p=0.4→-20; p=0.3→72.5; p=0.3→73.5
strong_ev_b_humans_favor_a,4,1889,1544,False,False,16,23.0,34.599999999999994,11.599999999999994,B,0.175,0.4560503085771818,0.28105030857718183,A,strong_ev_b_humans_favor_a,False,False,True,23,1.0,23,73,0.6,-23,0,0,p=1→23; p=0→23,p=0.4→-23; p=0.6→73
strong_ev_b_humans_favor_a,5,1890,1544,True,False,17,23.0,34.599999999999994,11.599999999999994,B,0.3764705882352941,0.4679472823258376,0.09147669409054349,A,strong_ev_b_humans_favor_a,False,False,False,23,1.0,23,73,0.6,-23,0,0,p=1→23; p=0→23,p=0.4→-23; p=0.6→73
