dimension,level,rows,structural_groups,problem_group_mae,problem_group_rmse,problem_group_mean_bias,condition_row_mae,condition_row_rmse,condition_row_mean_bias,mae_ci_lower,mae_ci_upper,rmse_ci_lower,rmse_ci_upper
feedback,no_feedback,2380,2380,0.08552438323886088,0.10804545039805168,0.00014841996719390857,0.08552438323886091,0.10804545039805169,0.0001484199671939078,0.08275557215133586,0.08808016963348136,0.10472753124545948,0.11103858144592131
feedback,feedback,12188,12188,0.07954776407684414,0.10056152217975808,-0.000502360463821138,0.07954776407684414,0.1005615221797581,-0.0005023604638211376,0.07838404269644254,0.08060195197475409,0.0991280796122789,0.10194716906378859
ambiguity,known_probabilities,11759,10493,0.07884088199173189,0.09928068334779455,0.0009706656150922411,0.07926118573175506,0.09990918479490891,0.0007091907454778756,0.07766370621450322,0.0799860964776086,0.09793562658435834,0.10068189228655873
ambiguity,ambiguous_b,2809,2513,0.08488030996986985,0.10833694892984976,-0.003965348970623691,0.08581128432088202,0.10946613337181665,-0.005022749657246304,0.08218963333099803,0.08737829629188701,0.10517724441075865,0.11123427001631371
expected_value_regime,extreme_a_advantage,717,642,0.07246901101708983,0.09302544341037017,0.009180618799500374,0.0730533835273673,0.0937092353167635,0.01097554127463021,0.06818484382227571,0.07694307211019047,0.08747005303655177,0.0987088708001776
expected_value_regime,moderate_a_advantage,5127,4580,0.07923741290898993,0.10023111041006041,-0.00017040603819370428,0.07955867389654592,0.10083967179532613,-0.0005972522713562727,0.07761347168268275,0.08091637404461255,0.09822034809531152,0.10223712063869962
expected_value_regime,near_equal_ev,2816,2532,0.08923126671530146,0.11174820970835873,-8.76058297762381e-05,0.08989266339377369,0.11253595608597737,-0.00022989231055087363,0.08657994583876141,0.09152761504064694,0.10870545603253517,0.11465811018113355
expected_value_regime,moderate_b_advantage,5127,4558,0.07819139697196487,0.09836031808388572,0.0006733251641059643,0.0788114818968976,0.09917205256530982,-6.529195155623407e-05,0.07660233565099567,0.07979642876260602,0.09645756100141817,0.1002619810784743
expected_value_regime,extreme_b_advantage,781,694,0.07034464376948293,0.09012293276591284,-0.011153347860760917,0.07118486020242183,0.0913554488179075,-0.012285213735796037,0.06637607251253318,0.07438291705937204,0.08503893216572075,0.09493527845920541
aggregate_division,approximately_50_50,2287,2227,0.07505647813847441,0.09238824545173649,0.003627834824236937,0.07466066650167066,0.09194746134781866,0.0033953558980575086,0.0729498714530201,0.0773996321085223,0.089919735400736,0.09498380824177842
aggregate_division,leaning,9148,8476,0.08128569380631834,0.10247541130351928,0.0016472062835131234,0.08140716229865824,0.10267544359887736,0.0014110213327477577,0.0800447953673989,0.08252606252498594,0.10095620995531211,0.10402061507095094
aggregate_division,strong_consensus,3133,2951,0.08293586491560709,0.10696369672887365,-0.008079528954150168,0.08222614608350431,0.10608784861930244,-0.008440067635481817,0.08035681443273159,0.08542017521589507,0.1038512592304917,0.11004600331170199
participant_count,n_at_or_below_16,9881,8830,0.08174580222355293,0.10329720531209212,0.0012392177294304615,0.08222049539775372,0.10391377497709857,0.0008653880457789333,0.08049695140732606,0.08297411505897129,0.10177973895577737,0.10478259885628723
participant_count,n_above_16,4687,4639,0.07702130959690578,0.09729458504016272,-0.0030127785475386666,0.07694804046337975,0.09726420265563165,-0.0030553507769302676,0.07532610322704845,0.07871376522060834,0.09510238030180364,0.09939809411234413
lottery_shape_b,single_outcome,7818,6973,0.07883389491778664,0.0997033120741977,0.0038940020586804096,0.0791638692995785,0.10019377202872867,0.0035569804181561273,0.07745447101541261,0.08015407321546517,0.09794577931107765,0.10133887761700393
lottery_shape_b,symmetric,4010,3593,0.07892137470581514,0.09901950962096513,-0.0006473061861523265,0.07944140897140858,0.09979252287203096,-0.001120561277386956,0.076959043063858,0.08079869669714765,0.09662439763693359,0.10123657647394975
lottery_shape_b,right_skewed,1539,1373,0.08336206669554595,0.10606053180039918,-0.012081192650698003,0.08505479216603934,0.10822469390904603,-0.013683396567886193,0.08003671740806045,0.08692826289396356,0.10185537494231962,0.11008606355777067
lottery_shape_b,left_skewed,1201,1067,0.08702176901670222,0.11008350001637814,-0.007515796984947772,0.08718873886267915,0.110232441892461,-0.006682601731870592,0.08307168832773844,0.09096876476564265,0.10507534310868909,0.11496484384388808
