case_category,category_rank,row_index,problem,feedback,ambiguity,participant_count_n,gamble_a,gamble_b,expected_value_a,expected_value_b_oracle,expected_value_difference_b_minus_a_oracle,expected_value_benchmark,actual_brate,predicted_brate,residual_predicted_minus_actual,absolute_error,possible_modeling_considerations
largest_overall,1,1237,1014,True,False,20,p=1→0; p=0→0,p=0.05→-20; p=0.95→1,0.0,-0.05000000000000093,-0.05000000000000093,A,0.86,0.3970397623724662,-0.4629602376275338,0.4629602376275338,"Feedback condition: a binary indicator cannot represent realized experience histories; Expected values are close, so prediction depends on other represented structure; Aggregate choice is on the opposite side of the simple EV benchmark"
largest_overall,2,7403,5987,True,False,16,p=0.5→25; p=0.5→3,p=0.8→6; p=0.1→77; p=0.1→79,14.0,20.400000000000002,6.400000000000002,B,0.3375,0.665464590359812,0.32796459035981196,0.32796459035981196,Feedback condition: a binary indicator cannot represent realized experience histories; Aggregate choice is on the opposite side of the simple EV benchmark; The aggregate target is based on a relatively small participant count
largest_overall,3,8429,6868,True,False,19,p=0.1→25; p=0.9→7,p=0.4→7; p=0.6→8,8.8,7.6,-1.200000000000001,A,0.5789473684210527,0.2683897683037602,-0.31055760011729244,0.31055760011729244,Feedback condition: a binary indicator cannot represent realized experience histories; Aggregate choice is on the opposite side of the simple EV benchmark
ambiguity,1,3996,3256,True,True,16,p=0.95→26; p=0.05→-9,p=0.8→3; p=0.00625→71.5; p=0.03125→72.5; p=0.0625→73.5; p=0.0625→74.5; p=0.03125→75.5; p=0.00625→76.5,24.25,17.200000000000003,-7.049999999999997,A,0.3500000000000001,0.6424841006415686,0.2924841006415685,0.2924841006415685,Ambiguous B: the model uses design-oracle probabilities that participants did not see; Feedback condition: a binary indicator cannot represent realized experience histories; The aggregate target is based on a relatively small participant count
ambiguity,2,7736,6255,True,True,15,p=0.75→33; p=0.25→1,p=0.05→-12; p=0.95→30,25.0,27.9,2.8999999999999986,B,0.09333333333333334,0.3711046153825602,0.27777128204922685,0.27777128204922685,Ambiguous B: the model uses design-oracle probabilities that participants did not see; Feedback condition: a binary indicator cannot represent realized experience histories; Aggregate choice is on the opposite side of the simple EV benchmark; The aggregate target is based on a relatively small participant count
ambiguity,3,8902,7341,True,True,16,p=1→22; p=0→22,p=0.1→9; p=0.9→28,22.0,26.099999999999998,4.099999999999998,B,0.3875,0.665073845839987,0.27757384583998695,0.27757384583998695,Ambiguous B: the model uses design-oracle probabilities that participants did not see; Feedback condition: a binary indicator cannot represent realized experience histories; Aggregate choice is on the opposite side of the simple EV benchmark; The aggregate target is based on a relatively small participant count
feedback,1,1237,1014,True,False,20,p=1→0; p=0→0,p=0.05→-20; p=0.95→1,0.0,-0.05000000000000093,-0.05000000000000093,A,0.86,0.3970397623724662,-0.4629602376275338,0.4629602376275338,"Feedback condition: a binary indicator cannot represent realized experience histories; Expected values are close, so prediction depends on other represented structure; Aggregate choice is on the opposite side of the simple EV benchmark"
feedback,2,7403,5987,True,False,16,p=0.5→25; p=0.5→3,p=0.8→6; p=0.1→77; p=0.1→79,14.0,20.400000000000002,6.400000000000002,B,0.3375,0.665464590359812,0.32796459035981196,0.32796459035981196,Feedback condition: a binary indicator cannot represent realized experience histories; Aggregate choice is on the opposite side of the simple EV benchmark; The aggregate target is based on a relatively small participant count
feedback,3,8429,6868,True,False,19,p=0.1→25; p=0.9→7,p=0.4→7; p=0.6→8,8.8,7.6,-1.200000000000001,A,0.5789473684210527,0.2683897683037602,-0.31055760011729244,0.31055760011729244,Feedback condition: a binary indicator cannot represent realized experience histories; Aggregate choice is on the opposite side of the simple EV benchmark
extreme_expected_value,1,5750,4653,True,True,17,p=1→10; p=0→10,p=0.99→-5; p=0.01→17,10.0,-4.78,-14.780000000000001,A,0.14117647058823532,0.39897125004548967,0.2577947794572544,0.2577947794572544,Ambiguous B: the model uses design-oracle probabilities that participants did not see; Feedback condition: a binary indicator cannot represent realized experience histories; Expected-value difference lies in the training-distribution tail
extreme_expected_value,2,12930,11369,True,False,15,p=0.2→20; p=0.8→15,p=0.05→3; p=0.95→26,16.0,24.849999999999998,8.849999999999998,B,0.52,0.7774135633490437,0.25741356334904364,0.25741356334904364,Feedback condition: a binary indicator cannot represent realized experience histories; Expected-value difference lies in the training-distribution tail; Aggregate choices are nearly evenly divided; The aggregate target is based on a relatively small participant count
