outer_fold,model,parameters_json,inner_oof_problem_mae,inner_fold_mae_std
0,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}",0.08676803273593829,0.002279474170999256
0,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 200, ""n_jobs"": -1}",0.08839281683792953,0.002338249944849747
0,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": 8, ""max_features"": 0.75, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}",0.08326103129285195,0.0017019697800427708
0,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": 8, ""max_features"": 0.75, ""min_samples_leaf"": 20, ""n_estimators"": 200, ""n_jobs"": -1}",0.08439478042705952,0.0017752533893869822
0,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}",0.08125950899802135,0.0019356989576871796
0,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 200, ""n_jobs"": -1}",0.08581044261735096,0.0022590085694326033
0,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 0.75, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}",0.08042987459658123,0.0011827509925446482
0,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 0.75, ""min_samples_leaf"": 20, ""n_estimators"": 200, ""n_jobs"": -1}",0.08321485244017682,0.0016100810320090668
0,gradient_boosting,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 100}",0.1053713522172087,0.0024839544605540437
0,gradient_boosting,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 200}",0.09476028130837853,0.002917147117094748
0,gradient_boosting,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 3, ""min_samples_leaf"": 20, ""n_estimators"": 100}",0.09459765902735585,0.002335028332679236
0,gradient_boosting,"{""learning_rate"": 0.03, ""loss"": ""squared_error"", ""max_depth"": 3, ""min_samples_leaf"": 20, ""n_estimators"": 200}",0.0869634778072077,0.002291063455603961
0,gradient_boosting,"{""learning_rate"": 0.07, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 100}",0.09298640866786967,0.002961975591302941
0,gradient_boosting,"{""learning_rate"": 0.07, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 200}",0.08841953674127698,0.0027416392899654455
0,gradient_boosting,"{""learning_rate"": 0.07, ""loss"": ""squared_error"", ""max_depth"": 3, ""min_samples_leaf"": 20, ""n_estimators"": 100}",0.0860374023241009,0.0022749761689800133
0,gradient_boosting,"{""learning_rate"": 0.07, ""loss"": ""squared_error"", ""max_depth"": 3, ""min_samples_leaf"": 20, ""n_estimators"": 200}",0.08283060698918454,0.002091169768187653
1,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}",0.08684035286745159,0.0010936789242934595
1,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 200, ""n_jobs"": -1}",0.08863361112303672,0.0009677715429441638
1,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": 8, ""max_features"": 0.75, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}",0.08315919146928585,0.0011939021530281652
1,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": 8, ""max_features"": 0.75, ""min_samples_leaf"": 20, ""n_estimators"": 200, ""n_jobs"": -1}",0.08440819811346423,0.001236103265914941
1,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}",0.08113541316044343,0.0009239925642759904
1,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20, ""n_estimators"": 200, ""n_jobs"": -1}",0.08584268521874532,0.0009027855694876543
1,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 0.75, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}",0.08027726001979044,0.000923663782511194
1,random_forest,"{""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 0.75, ""min_samples_leaf"": 20, ""n_estimators"": 200, ""n_jobs"": -1}",0.0831744409507798,0.001193484744005822
